Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
22:04:12,69.30216222127272;3335.528181107837;1724.5646544710755,3755.619028083658,1;1;1,6.930216222127272e-05;0.0033355281811078374;0.0017245646544710757,43.11653666666666;5.882384999999999 
22:04:15,347.1336776320139;2779.178064289091;974.9220334656954,2965.6037285026587,7;7;7,0.00034713367763201394;0.0027791780642890907;0.0009749220334656955,43.11653666666666;5.882384999999999 
22:04:19,85.8015785058339;1418.3337923367817;758.0435254764612,1610.4852200114449,3;3;3,8.580157850583391e-05;0.0014183337923367818;0.0007580435254764613,43.11653666666666;5.882384999999999 
22:04:22,1033.6834734821318;1163.0944376436862;1154.4167036056567,1937.5159663320246,32;32;32,0.0010336834734821318;0.0011630944376436862;0.0011544167036056567,43.11653666666666;5.882384999999999 
22:04:25,180.3070776303608;2065.055045986175;761.9272447840331,2208.50540219868,5;5;5,0.0001803070776303608;0.0020650550459861755;0.0007619272447840331,43.11653666666666;5.882384999999999 
22:04:29,763.85445242246;2350.6633523623154;249.13226998966564,2484.181697979248,18;18;18,0.00076385445242246;0.0023506633523623153;0.00024913226998966566,43.11653666666666;5.882384999999999 
22:04:32,2015.323611866633;2625.3119512430826;895.2082114728395,3428.5842331457065,36;36;36,0.0020153236118666327;0.0026253119512430825;0.0008952082114728394,43.11653666666666;5.882384999999999 
22:04:35,53.275351368586314;2722.1848419570915;980.5876872380477,2893.9040739470383,1;1;1,5.327535136858631e-05;0.0027221848419570916;0.0009805876872380477,43.11653666666666;5.882384999999999 
22:04:39,297.1241669654844;2464.7233688481642;716.4816810321817,2583.8904881584817,7;7;7,0.00029712416696548436;0.002464723368848164;0.0007164816810321816,43.11653666666666;5.882384999999999 
22:04:42,150.6794555759432;2352.7333392143255;414.3714644114027,2393.6921636463,4;4;4,0.0001506794555759432;0.0023527333392143255;0.00041437146441140275,43.11653666666666;5.882384999999999 
22:04:45,1369.9110637601214;1352.9141024430605;719.8634908771257,2055.5379677105216,42;42;42,0.0013699110637601212;0.0013529141024430607;0.0007198634908771258,43.11653666666666;5.882384999999999 
22:04:49,1502.983161293666;1539.222894964219;355.17669883407876,2180.4394031729034,44;44;44,0.001502983161293666;0.001539222894964219;0.0003551766988340788,43.11653666666666;5.882384999999999 
22:04:52,837.9362891038256;1293.5154556306206;1583.6633928108058,2209.8210787938046,22;22;22,0.0008379362891038257;0.0012935154556306208;0.001583663392810806,43.11653666666666;5.882384999999999 
22:04:55,242.98154098510727;2041.87992210388;1102.1987913036444,2333.0571834187135,6;6;6,0.00024298154098510727;0.00204187992210388;0.0011021987913036443,43.11653666666666;5.882384999999999 
22:04:59,1926.2480872885383;1886.5947457822174;174.87211516382573,2701.8977932663724,45;45;45,0.0019262480872885384;0.0018865947457822176;0.00017487211516382573,43.11653666666666;5.882384999999999 
22:05:02,1139.669917755127;1092.2391617933931;1049.947210540779,1895.8436256488758,37;37;37,0.0011396699177551272;0.0010922391617933932;0.0010499472105407791,43.11653666666666;5.882384999999999 
22:05:05,457.53630168596897;7.118385508854574;291.6037863667693,542.6075073164425,58;58;58,0.000457536301685969;7.118385508854575e-06;0.0002916037863667693,43.11653666666666;5.882384999999999 
22:05:09,10.281973848342869;114.22898228009338;20.909361165353246,116.581219599501,5;5;5,1.028197384834287e-05;0.00011422898228009337;2.0909361165353245e-05,43.11653666666666;5.882384999999999 
22:05:12,17.55311441103602;14.048477032977736;11.267711563068161,25.148217756762072,44;44;44,1.755311441103602e-05;1.4048477032977737e-05;1.1267711563068161e-05,43.11653666666666;5.882384999999999 
22:05:16,7.166394240061616;28.750995092392095;7.555452009887276,30.578779901762797,14;14;14,7.166394240061617e-06;2.8750995092392097e-05;7.555452009887276e-06,43.11653666666666;5.882384999999999 
22:05:19,387.7122783215839;171.154867690404;169.6304346021229,456.49675118092364,58;58;58,0.0003877122783215839;0.000171154867690404;0.0001696304346021229,43.11653666666666;5.882384999999999 
22:05:22,222.6819530550636;75.97724632899039;36.54025585809251,238.10708614891848,69;69;69,0.0002226819530550636;7.597724632899039e-05;3.654025585809251e-05,43.11653666666666;5.882384999999999 
22:05:26,94.00546013196309;180.27216218948382;44.30208306312622,208.08112254317015,27;27;27,9.40054601319631e-05;0.00018027216218948383;4.430208306312622e-05,43.11653666666666;5.882384999999999 
22:05:29,141.66191947937017;52.25656868299022;14.11830791475488,151.65149197906186,69;69;69,0.00014166191947937018;5.225656868299023e-05;1.411830791475488e-05,43.11653666666666;5.882384999999999 
22:05:32,61.965555206934795;33.708987696967284;64.094150120388,95.31047142529937,41;41;41,6.19655552069348e-05;3.370898769696729e-05;6.409415012038799e-05,43.11653666666666;5.882384999999999 
22:05:36,261.38447228749595;13.085808448790814;23.564181652066196,262.7705299166989,84;84;84,0.000261384472287496;1.3085808448790815e-05;2.3564181652066195e-05,43.11653666666666;5.882384999999999 
22:05:39,51.24277391751604;20.025875813165285;99.24838767370048,113.47731066902811,27;27;27,5.124277391751604e-05;2.0025875813165286e-05;9.924838767370048e-05,43.11653666666666;5.882384999999999 
22:05:43,13.421869567235262;14.319695189793812;7.220014381390527,20.912409250872223,40;40;40,1.3421869567235264e-05;1.4319695189793813e-05;7.220014381390527e-06,43.11653666666666;5.882384999999999 
22:05:46,7.175746590296586;15.040449647901966;3.453511196820358,17.01861346660741,25;25;25,7.1757465902965865e-06;1.5040449647901966e-05;3.453511196820358e-06,43.11653666666666;5.882384999999999 
22:05:49,2.118619073232131;16.618502877552068;7.893383598263526,18.51941384866176,7;7;7,2.118619073232131e-06;1.661850287755207e-05;7.893383598263526e-06,43.11653666666666;5.882384999999999 
22:05:53,14.41571265220641;15.457564468381978;20.845141693721203,29.686175280700663,29;29;29,1.441571265220641e-05;1.545756446838198e-05;2.0845141693721204e-05,43.11653666666666;5.882384999999999 
