Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:09:39,57.655368728637576;2977.318826837539;166.0110750611725,2982.500832393423,1;1;1,43.116605;5.882431666666667 
22:09:44,477.579635219574;763.4909577433265;380.1537088616644,977.5058019743732,29;29;29,43.116605;5.882431666666667 
22:09:48,782.922024081548;197.57525710423917;908.4773259862225,1215.456264060057,40;40;40,43.116605;5.882431666666667 
22:09:52,758.0310556761424;5472.048276179631;643.0538853772542,5561.604239579507,8;8;8,43.116605;5.882431666666667 
22:09:55,599.8273225911457;225.1678077475201;303.3522087319778,708.8835737377866,58;58;58,43.116605;5.882431666666667 
22:09:59,514.6305294005073;90.75271272023377;178.86930965423176,552.3358277292078,69;69;69,43.116605;5.882431666666667 
22:10:03,895.256220204035;5537.575829846068;1079.980101105381,5712.493920337506,9;9;9,43.116605;5.882431666666667 
22:10:06,188.479161265691;4203.151947307587;2087.245055643726,4696.658664273588,2;2;2,43.116605;5.882431666666667 
22:10:10,203.0513699118295;826.9628648281091;2208.6273388735567,2367.0936104530115,5;5;5,43.116605;5.882431666666667 
22:10:14,524.2628266525269;170.99899518648724;495.2162972927283,741.1689071114665,45;45;45,43.116605;5.882431666666667 
22:10:17,19.46847573916134;0.953939723968511;13.683111883828758,23.81510233924378,55;55;55,43.116605;5.882431666666667 
22:10:21,23.685138715108017;1.8523888365429286;3.634946791363447,24.033933896299644,80;80;80,43.116605;5.882431666666667 
22:10:25,1.2376276810965314;1.6379082711538429;16.096018244395438,16.22640653705069,4;4;4,43.116605;5.882431666666667 
22:10:29,8.967656895319635;13.99797434170974;22.013561983103003,27.585486529101782,19;19;19,43.116605;5.882431666666667 
22:10:32,55.63089664777132;17.0212774276729;88.59793122608295,105.9911032334627,32;32;32,43.116605;5.882431666666667 
22:10:36,56.74133236567189;118.82722114563052;82.89486805279545,155.5989923917073,21;21;21,43.116605;5.882431666666667 
22:10:40,13.852077678044722;217.53504297574307;118.24363449098385,247.98171722144025,3;3;3,43.116605;5.882431666666667 
22:10:43,34.06998841603591;17.56121978123948;32.87475805599627,50.496636205930685,42;42;42,43.116605;5.882431666666667 
22:10:47,78.07903117179883;113.36108417828919;28.393735313429147,140.54634367301404,34;34;34,43.116605;5.882431666666667 
22:10:51,18.806952832539483;22.002339162826512;3.7590213044040865,29.187919498456516,40;40;40,43.116605;5.882431666666667 
22:10:55,3.0332789262126902;3.995324020386104;2.6174110857706268,5.658112394075887,32;32;32,43.116605;5.882431666666667 
22:10:59,9.623568391800466;7.614060071308771;2.970929924645205,12.625902105525446,50;50;50,43.116605;5.882431666666667 
22:11:02,24.75816503206939;3.474709857305802;25.980205462710515,36.055671124419455,43;43;43,43.116605;5.882431666666667 
22:11:06,2.3430754788712065;8.668381687801151;3.1112151781229613,9.503183870139342,14;14;14,43.116605;5.882431666666667 
22:11:10,215.44510444323208;60.432393258412546;5.672512162524512,223.83217949555106,74;74;74,43.116605;5.882431666666667 
22:11:13,1019.2733722400665;481.2756840324405;128.0586143175828,1134.4353221314425,64;64;64,43.116605;5.882431666666667 
22:11:17,552.5187706724803;1158.9064552084603;1114.19660967508,1699.9338954443817,19;19;19,43.116605;5.882431666666667 
22:11:21,47.41953314145407;1132.9100390052795;899.7821342277472,1447.5295014878755,2;2;2,43.116605;5.882431666666667 
22:11:24,206.42507438659655;345.2588431549072;253.5571786308175,475.5062806603053,26;26;26,43.116605;5.882431666666667 
22:11:28,112.15525448799137;1065.3717300383253;303.53052687644146,1113.4300629226834,6;6;6,43.116605;5.882431666666667 
22:11:32,129.87359375317885;671.6109750747688;57.505731124855686,686.4658486097118,11;11;11,43.116605;5.882431666666667 
22:11:35,276.9393011983236;1746.831353400547;1050.722208630244,2057.214697954548,8;8;8,43.116605;5.882431666666667 
22:11:39,196.69052477200822;736.9789152971911;317.5827448495205,826.2468662293782,14;14;14,43.116605;5.882431666666667 
22:11:43,161.50698318799337;1285.487398188909;392.8068152395987,1353.8314336059914,7;7;7,43.116605;5.882431666666667 
22:11:47,260.5957574176791;260.7834279123945;1032.7021001974756,1096.5362615117247,14;14;14,43.116605;5.882431666666667 
22:11:50,6.181903505325173;106.66106046994595;639.9476581191816,648.80490356019,1;1;1,43.116605;5.882431666666667 
22:11:54,7.9538621298470416;464.6696509551993;1078.77053047498,1174.6178126790335,0;0;0,43.116605;5.882431666666667 
22:11:58,210.2695138231913;1450.8625134340925;1275.9529888693564,1943.5203449247392,6;6;6,43.116605;5.882431666666667 
22:12:02,228.6069786739349;633.2208243401847;1133.506718950299,1318.357783373679,10;10;10,43.116605;5.882431666666667 
22:12:05,308.2603221352895;724.0321451218919;552.4171417999071,961.4632972335135,19;19;19,43.116605;5.882431666666667 
22:12:09,258.07436379432687;847.407102441788;480.02558655104724,1007.53448489881,15;15;15,43.116605;5.882431666666667 
22:12:13,860.3557430871327;210.00889499664368;121.39038860004803,893.8967317790094,74;74;74,43.116605;5.882431666666667 
22:12:16,19.168577041626193;1.4034760252631395;31.607826344217216,36.99268545213282,31;31;31,43.116605;5.882431666666667 
22:12:20,3.912399848302481;881.9571781698877;1233.5288577334077,1516.3961269599213,0;0;0,43.116605;5.882431666666667 
22:12:24,10.606188656488907;3949.7094908396402;40.40277650513957,3949.9303712364185,0;0;0,43.116605;5.882431666666667 
22:12:27,191.0011783790588;3830.0536514631904;551.6221920299547,3874.2843811430052,3;3;3,43.116605;5.882431666666667 
22:12:31,92.00842161178603;1781.7399358876537;534.1283091703967,1862.3522221754026,3;3;3,43.116605;5.882431666666667 
22:12:35,184.126577466329;345.5207089614856;391.52491976737383,553.6956922801189,19;19;19,43.116605;5.882431666666667 
22:12:39,977.4958002503712;732.6275784778597;124.32952053387325,1227.8839676164962,53;53;53,43.116605;5.882431666666667 
22:12:43,309.49794981638576;1878.0385922972353;1750.4781465021856,2585.921823350438,7;7;7,43.116605;5.882431666666667 
22:12:46,823.9582664426168;3516.710015230178;1243.423020791992,3819.9813304118184,12;12;12,43.116605;5.882431666666667 
22:12:50,1010.8350583680472;1881.5257719548542;439.80861007051783,2180.678417201492,28;28;28,43.116605;5.882431666666667 
22:12:54,86.3926470406851;1795.777813590367;1109.5759251689844,2112.685584501561,2;2;2,43.116605;5.882431666666667 
22:12:57,623.6228190390269;527.5654532655111;35.99719605447049,817.6347143004699,50;50;50,43.116605;5.882431666666667 
22:13:01,319.96198274930333;1657.4609180450432;1190.039182160712,2065.3681561235803,9;9;9,43.116605;5.882431666666667 
22:13:05,89.92596495946256;2731.2902901458733;1075.8002240403464,2936.899632310284,2;2;2,43.116605;5.882431666666667 
22:13:09,1159.7107573286692;4539.647638292313;162.79885450046194,4688.265477502684,14;14;14,43.116605;5.882431666666667 
22:13:12,56.66900752385469;370.8755539385496;289.97897138595977,474.18124885851825,7;7;7,43.116605;5.882431666666667 
22:13:16,229.49358147621163;3180.538539053598;402.9597266547054,3214.1669595168214,4;4;4,43.116605;5.882431666666667 
22:13:20,365.77478212038653;128.0823069381712;166.48056304296688,421.79621437007165,60;60;60,43.116605;5.882431666666667 
22:13:23,34.51328981717426;3.7147535133355003;23.350948066747534,41.83579021944062,56;56;56,43.116605;5.882431666666667 
22:13:27,14.332788480123044;6.1214249738049675;8.96828038529307,17.981399344742428,53;53;53,43.116605;5.882431666666667 
22:13:31,69.46115217526749;17.31805867513103;11.452888097771563,72.49783075079576,73;73;73,43.116605;5.882431666666667 
22:13:35,12.028992872238103;33.43527558008952;28.635025949485637,45.635282772922544,15;15;15,43.116605;5.882431666666667 
22:13:38,41.03063095092765;47.06601430257174;40.43270402590338,74.38767326249298,33;33;33,43.116605;5.882431666666667 
22:13:42,68.03336003939306;1.8093680254611666;105.47829991022262,125.52881598602018,33;33;33,43.116605;5.882431666666667 
22:13:46,6.168186724980713;58.19406410217315;77.74172307331284,97.30555549715406,4;4;4,43.116605;5.882431666666667 
22:13:49,58.051908378601084;56.25126921335743;135.0105279922431,157.3596899566575,22;22;22,43.116605;5.882431666666667 
22:13:53,32.206376759211096;4.014028720855601;51.19351820628282,60.61468004423612,32;32;32,43.116605;5.882431666666667 
22:13:57,14.576573076247879;2.074351282121023;5.884498767896318,15.855810973841892,67;67;67,43.116605;5.882431666666667 
22:14:01,1.1035773277285195;3.43667696634814;6.963759985021412,7.843633381175441,8;8;8,43.116605;5.882431666666667 
22:14:04,0.8385940710700022;3.3425299739821;12.620061407064398,13.082113612145355,4;4;4,43.116605;5.882431666666667 
22:14:08,9.268802572885967;1.7320552635187725;4.297093187997092,10.3622259402771,63;63;63,43.116605;5.882431666666667 
22:14:12,1.4864001973467351;1.0056893952681834;5.274725532549596,5.5716717554211606,15;15;15,43.116605;5.882431666666667 
22:14:15,8.008729251226129;5.640714171726402;8.354766209885511,12.874762871929128,38;38;38,43.116605;5.882431666666667 
22:14:19,12.266542568206452;3.929857568740036;14.097109254247897,19.09555802835848,40;40;40,43.116605;5.882431666666667 
22:14:23,18.942250165939598;1.6391552511856866;0.9975840251250645,19.039192345625196,84;84;84,43.116605;5.882431666666667 
22:14:27,2.729639288584003;2.8898762226106656;0.12220404310703259,3.977090526495918,43;43;43,43.116605;5.882431666666667 
22:14:30,27.67734528541558;157.87577733675704;139.96976757685076,212.79645755334138,7;7;7,43.116605;5.882431666666667 
22:14:34,475.45602822621635;378.3312475458775;447.7849178409574,754.7875862069419,39;39;39,43.116605;5.882431666666667 
22:14:38,382.5641212622324;1437.1806485303248;658.4946156152274,1626.4866068251024,14;14;14,43.116605;5.882431666666667 
22:14:41,669.2217613347372;541.5073135058087;2115.041487522113,2283.5254389570523,17;17;17,43.116605;5.882431666666667 
22:14:45,283.4067631308237;1547.6462450758615;1200.7769272105015,1979.2406428241106,8;8;8,43.116605;5.882431666666667 
22:14:49,234.11863041241955;544.3990601984656;622.1644758923635,859.2266900612311,16;16;16,43.116605;5.882431666666667 
22:14:53,85.3869576454161;37.935003023146955;857.7358380412913,862.8098080403947,6;6;6,43.116605;5.882431666666667 
22:14:56,297.9496677462259;1083.6187888367976;2092.2847254403364,2375.0071697452113,7;7;7,43.116605;5.882431666666667 
22:15:00,224.66091036478676;1947.1680477841692;516.628191410696,2027.0275328958494,6;6;6,43.116605;5.882431666666667 
22:15:04,171.14239789009085;1221.4824071407322;1538.710386171333,1972.0392095040656,5;5;5,43.116605;5.882431666666667 
